timestamp,entry,emotion_label,emotion_score
2025-10-11 09:38:17,"Data Structures exam tomorrow. Feeling the pressure, haven't slept enough.",sadness,0.527
2025-10-11 09:38:18,Finally understood recursion. It just... clicked. Such a good feeling.,joy,0.8825
2025-10-11 09:38:18,Professor's lecture on algorithms was actually fascinating today.,surprise,0.4332
2025-10-11 09:38:18,"Spent 6 hours debugging a single issue. I was about to give up, but I found it. Victory.",sadness,0.505
2025-10-11 09:38:19,Group project members are not pulling their weight. So frustrating.,sadness,0.2576
2025-10-11 09:38:19,Imposter syndrome is hitting hard. Everyone in my class seems smarter than me.,neutral,0.8942
2025-10-11 09:38:19,Got a 95 on my midterm! All that late-night studying paid off.,surprise,0.4426
2025-10-11 09:38:19,Started grinding LeetCode for internship prep. It's demoralizing.,sadness,0.7866
2025-10-11 09:38:20,Just built a small weather app using a new API. It feels amazing to create something from scratch.,surprise,0.8414
2025-10-11 09:38:20,Fell asleep in my OS lecture. So embarrassing.,sadness,0.5973
2025-10-11 09:38:20,My resume feels so empty. I need more projects.,sadness,0.9773
2025-10-11 09:38:21,Applied to 10 internships today. Fingers crossed.,neutral,0.5111
2025-10-11 09:38:21,Got another rejection email. This process is brutal.,disgust,0.5794
2025-10-11 09:38:21,"The career fair was a madhouse. So many people, so much pressure.",anger,0.2738
2025-10-11 09:38:22,"Finally landed an interview! It's with a startup, looks cool.",joy,0.5777
2025-10-11 09:38:22,This compiler theory homework makes absolutely no sense.,disgust,0.8249
2025-10-11 09:38:22,Why do I have to take these pointless elective courses?,anger,0.6462
2025-10-11 09:38:23,"Helped a junior with their coding problem, felt good to be the one who knew the answer.",joy,0.9734
2025-10-11 09:38:23,Thinking about what I want to specialize in. AI? Cybersecurity? So many options.,surprise,0.5115
2025-10-11 09:38:23,I'm genuinely tired of looking at a screen all day.,sadness,0.8073
2025-10-11 09:38:24,My laptop crashed in the middle of me writing code. Lost an hour of work.,sadness,0.8382
2025-10-11 09:38:24,"Our group project is finally working. The demo is tomorrow, I'm nervous but excited.",fear,0.981
2025-10-11 09:38:25,Realized I've learned more from side projects than from some of my classes.,neutral,0.5336
2025-10-11 09:38:25,"The satisfaction of clean, commented, and efficient code is underrated.",neutral,0.6154
2025-10-11 09:38:25,Just found out the internship I wanted went to someone else. Stings a lot.,surprise,0.583
2025-10-11 09:38:26,Date night with [GF's Name] was perfect. We just walked and talked for hours.,neutral,0.8885
